Ticker,Description
LTRPA,"Liberty TripAdvisor Holdings, Inc."
CCMP,Cabot Microelectronics Corporation
SAP,SAP SE
NATI,National Instruments Corporation
SNAP,Snap Inc.
TLND,Talend
ZBRA,Zebra Technologies Corporation
AMKR,"Amkor Technology, Inc."
EA,Electronic Arts Inc.
TSM,Taiwan Semiconductor Manufacturing Company Ltd.
HPQ,HP Inc.
SYMC,Symantec Corporation
FTNT,"Fortinet, Inc."
ELLI,"Ellie Mae, Inc."
FB,"Facebook, Inc."
FIT,"Fitbit, Inc."
AMZN,Amazon
TYL,"Tyler Technologies, Inc."
ARRS,ARRIS International plc
PFPT,"Proofpoint, Inc."
CRUS,"Cirrus Logic, Inc."
CTXS,"Citrix Systems, Inc."
ADBE,Adobe Systems Incorporated
GWRE,"Guidewire Software, Inc."
QTWO,"Q2 Holdings, Inc."
CVG,Convergys Corporation
NUAN,"Nuance Communications, Inc."
CLGX,"CoreLogic, Inc."
CYBR,CyberArk Software Ltd.
CLDR,Cloudera
MU,"Micron Technology, Inc."
NICE,NICE Ltd
AMBA,"Ambarella, Inc."
SATS,EchoStar Corporation
AAPL,Apple Inc.
MSFT,Microsoft Corporation
KYO,Kyocera Corporation
INFO,IHS Markit Ltd.
LXFT,"Luxoft Holding, Inc."
SGMS,Scientific Games Corp
CACI,"CACI International, Inc."
PEGA,Pegasystems Inc.
RXN,Rexnord Corporation
CRTO,Criteo S.A.
DVMT,Dell Technologies Inc.
CDNS,"Cadence Design Systems, Inc."
RHT,"Red Hat, Inc."
WIX,Wix.com Ltd.
KLIC,"Kulicke and Soffa Industries, Inc."
MA,Mastercard
GLOB,Globant S.A.
LECO,"Lincoln Electric Holdings, Inc."
CRM,Salesforce.com Inc
ETN,"Eaton Corporation, PLC"
GDDY,GoDaddy Inc.
CSGS,"CSG Systems International, Inc."
CALD,"Callidus Software, Inc."
SSNC,"SS&C Technologies Holdings, Inc."
TECD,Tech Data Corporation
KFY,Korn/Ferry International
BLKB,"Blackbaud, Inc."
TTD,"The Trade Desk, Inc."
INTU,Intuit Inc.
SYKE,"Sykes Enterprises, Incorporated"
TTEC,"TeleTech Holdings, Inc."
ATU,Actuant Corporation
IT,Gartner
JKHY,"Jack Henry & Associates, Inc."
CHKP,Check Point Software Technologies Ltd.
LDOS,"Leidos Holdings, Inc."
JBT,John Bean Technologies Corporation
AVGO,Broadcom Limited
ORCL,Oracle Corporation
EIGI,"Endurance International Group Holdings, Inc."
MAN,ManpowerGroup
SNPS,"Synopsys, Inc."
JBL,"Jabil Circuit, Inc."
VRSN,"VeriSign, Inc."
PRGS,Progress Software Corporation
SWKS,"Skyworks Solutions, Inc."
OKTA,"Okta, Inc."
DSGX,The Descartes Systems Group Inc.
MXL,"MaxLinear, Inc"
OTEX,Open Text Corporation
MIDD,The Middleby Corporation
V,Visa
OMCL,"Omnicell, Inc."
FISV,"Fiserv, Inc."
VMW,"Vmware, Inc."
SSTK,"Shutterstock, Inc."
MPWR,"Monolithic Power Systems, Inc."
NXPI,NXP Semiconductors N.V.
INTC,Intel Corporation
PSDO,"Presidio, Inc."
ACXM,Acxiom Corporation
DST,"DST Systems, Inc."
ZPIN,Zhaopin Limited
UMC,United Microelectronics Corporation
SCSC,"ScanSource, Inc."
EVTC,"Evertec, Inc."
ERIC,Ericsson
MDRX,"Allscripts Healthcare Solutions, Inc."
CSRA,CSRA Inc.
INVN,"InvenSense, Inc."
CSCO,"Cisco Systems, Inc."
FLIR,FLIR Systems
AUO,AU Optronics Corp
GIMO,Gigamon Inc.
MCHP,Microchip Technology Incorporated
TBI,"TrueBlue, Inc."
TNC,Tennant Company
BIDU,"Baidu, Inc."
CA,CA Inc.
TTMI,"TTM Technologies, Inc."
EBIX,"Ebix, Inc."
MXIM,"Maxim Integrated Products, Inc."
MSI,"Motorola Solutions, Inc."
BHE,"Benchmark Electronics, Inc."
DCM,"NTT DOCOMO, Inc"
MSTR,MicroStrategy Incorporated
DOX,Amdocs Limited
CAVM,"Cavium, Inc."
VSAT,"ViaSat, Inc."
PTC,PTC Inc.
NVDA,NVIDIA Corporation
BRCD,"Brocade Communications Systems, Inc."
WPPGY,WPP plc
SMTC,Semtech Corporation
LLL,"L3 Technologies, Inc."
CMCM,Cheetah Mobile Inc.
WIT,Wipro Limited
RP,"RealPage, Inc."
CSOD,"Cornerstone OnDemand, Inc."
EBAY,eBay
TXN,Texas Instruments Incorporated
PANW,"Palo Alto Networks, Inc."
AER,Aercap Holdings N.V.
YEXT,"Yext, Inc."
AZPN,"Aspen Technology, Inc."
SLAB,"Silicon Laboratories, Inc."
ZEN,"Zendesk, Inc."
RHI,Robert Half International Inc.
DOV,Dover Corporation
VRNT,Verint Systems Inc.
OMC,Omnicom Group Inc.
VRSK,"Verisk Analytics, Inc."
POWI,"Power Integrations, Inc."
QCOM,QUALCOMM Incorporated
CY,Cypress Semiconductor Corporation
CLS,"Celestica, Inc."
QRVO,"Qorvo, Inc."
NTAP,"NetApp, Inc."
MRVL,Marvell Technology Group Ltd.
INFY,Infosys Limited
GPRO,GoPro
SOHU,Sohu.com Inc.
PAYX,Paychex
RMBS,"Rambus, Inc."
IDTI,"Integrated Device Technology, Inc."
EFII,"Electronics for Imaging, Inc."
ASX,"Advanced Semiconductor Engineering, Inc."
SNX,Synnex Corporation
ON,ON Semiconductor Corporation
LORL,"Loral Space and Communications, Inc."
FDS,FactSet Research Systems Inc.
MULE,"MuleSoft, Inc."
ADP,"Automatic Data Processing, Inc."
SMCI,"Super Micro Computer, Inc."
MSCC,Microsemi Corporation
SXI,Standex International Corporation
DIOD,Diodes Incorporated
AL,Air Lease Corporation
AYR,Aircastle Limited
TDC,Teradata Corporation
MTSI,"MACOM Technology Solutions Holdings, Inc."
QTNA,Quantenna
SMI,Semiconductor Manufacturing International Corporation
CW,Curtiss-Wright Corporation
NSP,"Insperity, Inc."
MB,"MINDBODY, Inc."
TSEM,Tower Semiconductor Ltd.
MCRN,Milacron Holdings Corp.
UBNT,"Ubiquiti Networks, Inc."
ADI,"Analog Devices, Inc."
CUDA,"Barracuda Networks, Inc."
LN,LINE Corporation
STX,Seagate Technology PLC
AMN,AMN Healthcare Services Inc
OCLR,"Oclaro, Inc."
SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
MLNX,"Mellanox Technologies, Ltd."
FLEX,Flex Ltd.
NTCT,"NetScout Systems, Inc."
XPER,Xperi Corporation
SANM,Sanmina Corporation
FFIV,"F5 Networks, Inc."
MANH,"Manhattan Associates, Inc."
PLXS,Plexus Corp.
HPE,Hewlett Packard Enterprise Company
IBM,International Business Machines Corporation
COMM,"CommScope Holding Company, Inc."
ACIA,"Acacia Communications, Inc."
BSFT,"BroadSoft, Inc."
FNSR,Finisar Corporation
CREE,"Cree, Inc."
GRPN,"Groupon, Inc."
AKAM,Akamai Tech
NTNX,"Nutanix, Inc."
IPHI,Inphi Corporation
TWLO,Twilio Inc.
AMD,"Advanced Micro Devices, Inc."
